Time, Temp
2821,229
2831,228
2841,229
2851,228
2863,230
2873,229
2883,230
2893,227
2905,230
2915,228
2925,229
2935,229
2946,228
2957,229
2967,228
2977,229
2988,228
2999,229
3009,228
3019,228
3030,229
3040,228
3051,228
3061,229
3072,229
3082,228
3093,228
3103,229
3113,228
3124,228
3134,229
3145,230
3155,228
3166,228
3176,229
3187,228
3197,228
3208,229
3218,228
3228,228
3239,228
3250,229
3260,229
3270,228
3281,228
3292,230
3302,228
3312,229
3322,228
3334,229
3344,229
3354,229
3364,229
3376,229
3386,228
3396,229
3406,230
3417,228
3428,228
3438,230
3448,228
3459,228
3470,228
3480,230
3490,228
3501,228
3511,228
3522,228
3532,230
3543,228
3553,230
3564,229
3574,229
3585,229
3595,229
3605,229
3616,229
3627,230
3637,230
3647,229
3658,230
3668,231
3679,230
3689,230
3699,231
3710,231
3721,230
3731,230
3741,231
3752,231
3763,231
3773,231
3783,231
3793,231
3805,231
3815,231
3825,231
3835,231
3847,231
3857,232
3867,233
3877,232
3888,232
3899,231
3909,233
3919,231
3930,233
3941,233
3951,233
3961,233
3972,231
3982,233
3993,233
4003,232
4014,231
4024,233
4035,232
4045,231
4056,234
4066,232
4076,234
4087,233
4098,234
4108,234
4118,235
4129,234
4140,235
4150,236
4160,237
4170,236
4182,238
4192,237
4202,237
4212,239
4224,240
4234,239
4244,241
4254,241
4264,242
4276,241
4286,242
4296,242
4306,243
4318,244
4328,244
4338,244
4348,245
4359,245
4370,245
4380,246
4390,246
4401,247
4412,249
4422,248
4432,247
4443,250
4453,248
4464,249
4474,251
4485,250
4495,250
4506,250
4516,252
4527,251
4537,252
4547,252
4558,253
4569,252
4579,253
4589,253
4600,254
4611,255
4621,254
4631,255
4641,255
4653,255
4663,255
4673,256
4683,255
4695,256
4705,255
4715,256
4725,256
4736,257
4747,258
4757,259
4767,259
4777,257
4789,259
4799,259
4809,259
4819,258
4830,259
4841,260
4851,260
4861,259
4872,260
4883,260
4893,260
4903,260
4914,260
4924,261
4935,260
4945,261
4956,262
4966,262
4977,262
4987,261
4998,262
5008,261
5018,262
5029,263
5040,262
5050,262
5060,263
5071,263
5082,263
5092,263
5102,263
5112,263
5124,265
5134,263
5144,264
5154,263
5166,264
5176,265
5186,264
5196,264
5207,264
5218,265
5228,266
5238,264
5249,265
5260,266
5270,266
5280,265
5291,265
5301,265
5312,265
5322,265
5332,266
5343,267
5354,266
5364,266
5374,265
5385,266
5395,266
5406,265
5416,266
5427,266
5437,267
5448,267
5458,266
5469,266
5479,268
5489,267
5500,266
5511,267
5521,268
5531,267
5542,267
5553,268
5563,267
5573,269
5583,267
5595,267
5605,268
5615,268
5625,268
5637,268
5647,269
5657,268
5667,268
5678,268
5689,267
5699,268
5709,269
5720,268
5731,269
5741,268
5751,269
5762,269
5772,269
5783,269
5793,269
5804,269
5814,270
5825,270
5835,269
5846,269
5856,270
5866,270
5877,270
5888,269
5898,270
5908,270
5919,270
5929,270
5940,270
5950,271
5960,270
5971,271
5982,271
5992,270
6002,270
6013,270
6024,271
6034,270
6044,270
6054,271
6066,270
6076,271
6086,270
6096,271
6108,271
6118,271
6128,272
6138,272
6149,272
6160,271
6170,271
6180,272
6191,272
6202,271
6212,271
6222,272
6233,272
6243,273
6254,272
6264,272
6275,272
6285,272
6296,271
6306,272
6317,273
6327,272
6337,272
6348,273
6359,272
6369,274
6379,273
6390,273
6401,273
6411,273
6421,273
6431,272
6443,272
6453,272
6463,273
6473,273
6484,274
6495,273
6505,273
6515,273
6525,274
6537,273
6547,273
6557,274
6567,273
6579,274
6589,273
6599,274
6609,273
6620,273
6631,274
6641,274
6651,275
6662,275
6673,274
6683,274
6693,274
6704,274
6714,275
6725,274
6735,275
6746,274
6756,275
6767,274
6777,275
6788,274
6798,274
6808,274
6819,275
6830,275
6840,275
6850,274
6861,275
6872,274
6882,275
6892,274
6902,275
6914,274
6924,275
6934,275
6944,275
6956,275
6966,276
6976,275
6986,274
6996,275
7008,276
7018,276
7028,276
7038,274
7050,276
7060,275
7070,275
7080,275
7091,276
7102,276
7112,275
7122,275
7133,276
7144,275
7154,275
7164,275
7175,276
7185,276
7196,276
7206,276
7217,277
7227,276
7238,276
7248,276
7259,277
7269,276
7279,276
7290,278
7301,275
7311,276
7321,276
7332,276
7343,276
7353,277
7363,276
7373,276
7385,277
7395,276
7405,276
7415,276
7427,277
7437,278
7447,277
7457,277
7468,276
7479,276
7489,277
7499,276
7510,277
7521,276
7531,276
7541,276
7552,277
7562,277
7573,277
7583,276
7593,277
7604,277
7615,278
7625,277
7635,278
7646,276
7656,277
7667,277
7677,277
7688,278
7698,279
7709,277
7719,276
7730,277
7740,278
7750,278
7761,277
7772,277
7782,277
7792,276
7803,277
7814,278
7824,278
7834,278
7844,277
7856,278
7866,277
7876,277
7886,279
7898,277
7908,277
7918,278
7928,278
7939,278
7950,278
7960,278
7970,278
7981,278
7992,279
8002,278
8012,278
8023,278
8033,278
8044,278
8054,279
8065,279
8075,278
8086,278
8096,279
8107,278
8117,278
8127,279
8138,278
8148,278
8159,278
8169,279
8180,278
8190,279
8201,278
8211,279
8221,278
8232,278
8243,278
8253,279
8263,279
8274,279
8285,279
8295,278
8305,279
8315,279
8327,279
8337,279
8347,279
8357,279
8369,279
8379,279
8389,280
8399,280
8410,279
8421,279
8431,279
8441,280
8452,280
8463,280
8473,280
8483,279
8494,280
8504,280
8515,280
8525,279
8536,281
8546,280
8557,279
8567,280
8578,280
8588,280
8598,281
8609,280
8620,279
8630,280
8640,280
8651,279
8662,281
8672,280
8682,280
8692,281
8704,281
8714,280
8724,281
8734,280
8745,280
8756,280
8766,280
8776,280
8786,281
8798,280
8808,281
8818,282
8828,280
8840,281
8850,280
8860,281
8870,281
8881,280
8892,281
8902,281
8912,281
8923,280
8934,280
8944,281
8954,281
8965,280
8975,281
8986,281
8996,281
9007,281
9017,281
9028,281
9038,283
9049,282
9059,281
9069,281
9080,281
9091,282
9101,282
9111,282
9122,282
9133,281
9143,282
9153,282
9163,282
9175,282
9185,282
9195,281
9205,282
9217,282
9227,282
9237,282
9247,283
9257,282
9269,283
9279,283
9289,282
9299,282
9311,282
9321,282
9331,282
9341,282
9352,281
9363,282
9373,282
9383,283
9394,283
9405,282
9415,282
9425,283
9436,283
9446,282
9457,283
9467,283
9478,282
9488,283
9499,282
9509,282
9520,283
9530,283
9540,283
9551,282
9562,282
9572,284
9582,283
9593,283
9604,284
9614,283
9624,284
9634,283
9646,283
9656,283
9666,283
9676,283
9688,283
9698,285
9708,284
9718,284
9729,283
9740,285
9750,283
9760,283
9771,283
9782,285
9792,284
9802,283
9812,284
9823,284
9834,283
9844,283
9854,284
9865,283
9876,284
9886,285
9896,284
9907,284
9917,284
9928,285
9938,283
9949,284
9959,284
9970,284
9980,284
9991,284
10001,285
10011,284
10022,285
10033,284
10043,284
10053,283
10064,285
10075,284
10085,284
10096,284
10106,284
10117,285
10127,285
10138,284
10148,284
10159,283
10169,284
10180,285
10190,285
10201,284
10212,285
10222,284
10232,284
10243,285
10254,285
10264,285
10274,284
10285,286
10296,285
10306,285
10316,284
10327,284
10338,285
10348,284
10358,285
10370,285
10380,285
10390,285
10400,284
10412,284
10422,284
10432,286
10442,285
10454,284
10464,285
10474,286
10485,285
10496,285
10506,285
10516,285
10527,284
10537,285
