Time,Distance
8353,14.54
8366,14.29
8379,14.95
8391,15.21
8403,15.83
8416,15.57
8428,16.04
8441,15.69
8454,15.90
8466,15.69
8478,15.07
8491,15.31
8503,15.28
8516,14.65
8528,14.59
8541,15.07
8553,14.65
8565,14.71
8579,14.77
8591,14.71
8603,14.61
8615,14.61
8628,14.71
8640,14.90
8653,14.92
8666,14.95
8678,14.95
8690,14.97
8702,15.07
8716,14.97
8728,14.97
8740,14.97
8753,15.33
8765,15.38
8778,15.80
8791,15.33
8803,15.28
8815,15.23
8827,14.77
8840,14.92
8853,14.90
8865,15.11
8878,15.26
8890,15.80
8902,15.95
8915,15.90
8928,15.95
8940,16.52
8952,16.31
8965,16.98
8978,18.21
8990,18.56
9003,18.47
9015,18.66
9027,17.84
9040,15.88
9053,12.85
9065,9.50
9076,7.48
9088,6.86
9099,6.35
9110,6.60
9121,6.40
9133,8.35
9145,9.60
9156,12.14
9168,15.43
9182,16.98
9194,18.26
9206,18.32
9219,17.34
9231,16.16
9243,14.30
9256,12.49
9269,10.84
9281,9.60
9292,9.45
9304,9.91
9315,9.96
9327,10.38
9339,11.51
9352,12.69
9364,13.77
9377,14.85
9390,14.71
9402,15.02
9414,14.49
9426,13.33
9439,12.54
9451,11.66
9464,10.43
9477,9.96
9488,10.22
9500,10.38
9512,10.70
9526,11.10
9538,11.20
9550,11.66
9563,12.04
9575,12.25
9588,12.07
9601,12.23
9613,11.87
9625,11.46
9637,11.22
9650,10.48
9663,10.63
9675,10.58
9688,10.68
9700,10.50
9712,11.15
9725,10.89
9738,11.51
9750,11.25
9762,11.30
9775,11.37
9787,11.25
9800,10.94
9812,10.74
9825,10.99
9837,10.53
9849,10.50
9863,10.43
9875,10.48
9887,11.04
9900,10.89
9912,10.99
9925,11.40
9937,11.40
9950,10.94
9962,10.89
9974,10.89
9987,11.20
10000,10.99
10013,10.48
10027,10.46
10040,10.58
10053,10.99
10067,10.94
10081,10.99
10094,11.10
10107,11.25
10121,10.89
10135,10.84
10148,11.30
10162,11.35
10175,11.51
10189,11.46
10203,11.46
10216,11.87
10229,11.87
10243,11.97
10257,11.87
10270,12.33
10284,11.94
10297,11.92
10310,12.02
10324,11.97
10338,11.97
10351,11.92
10364,11.94
10378,11.99
10392,11.47
10405,11.46
10419,11.46
10432,11.68
10445,11.37
10460,12.28
10473,12.07
10486,12.69
10500,12.59
10513,12.74
10527,12.86
10541,13.43
10554,13.99
10567,13.51
10582,13.82
10595,15.18
10608,15.23
10621,17.90
10636,18.90
10649,18.57
10662,18.68
10676,19.69
10690,21.33
10703,22.00
10717,21.09
10732,50.51
10866,2104.10
10991,2110.62
10994,18.20
10996,16.55
10998,15.69
10999,15.78
11001,15.31
11009,13.72
11022,12.69
11035,10.89
11049,25.42
11063,8.35
11075,8.35
11087,9.19
11100,10.53
11114,11.71
11127,13.00
11141,14.46
11154,13.98
11167,13.41
11182,12.18
11195,10.43
11208,9.60
11220,8.82
11233,8.76
11245,8.56
11258,8.71
11271,8.76
11283,9.76
11295,10.14
11309,10.43
11323,10.84
11336,11.46
11350,11.35
11363,11.15
11376,10.63
11390,9.55
11403,9.55
11415,9.19
11427,9.14
11440,9.14
11453,9.18
11465,9.35
11478,9.66
11490,9.67
11502,10.38
11516,10.10
11530,10.02
11543,9.91
11555,10.27
11569,9.60
11581,9.76
11594,9.09
11607,9.35
11619,9.35
11631,9.45
11643,9.16
11657,9.14
11669,9.76
11681,9.50
11694,10.22
11707,9.96
11720,9.96
11732,10.55
11746,10.58
11759,10.32
11772,10.38
11787,10.32
11800,10.32
11813,10.39
11827,10.53
11840,11.11
11854,10.70
11868,10.79
11881,10.84
11894,10.99
11908,11.04
11922,11.35
11935,10.96
11949,10.96
11962,10.99
11976,11.46
11990,10.89
12003,10.84
12016,10.79
12029,10.84
12043,10.74
12057,10.53
12070,10.38
12084,10.27
12097,10.68
12110,10.17
12125,10.02
12138,9.91
12150,9.93
12163,10.03
12176,10.17
12190,10.38
12204,10.74
12217,11.15
12230,11.99
12244,12.02
12258,11.68
12271,11.97
12284,11.20
12298,10.96
12312,10.68
12325,10.58
12339,10.63
12352,10.58
12365,10.65
12380,10.58
12393,10.48
12406,10.50
12420,10.48
12433,10.58
12447,10.48
12461,10.48
12474,10.44
12487,10.53
12500,10.53
12515,10.84
12528,11.32
12541,11.35
12555,11.56
12568,11.30
12582,11.82
12596,11.71
12609,12.07
12622,12.66
12637,13.07
12650,14.20
12663,15.33
12677,15.49
12690,14.71
12704,12.69
12718,9.14
12730,7.32
12742,5.37
12755,25.14
12769,24.70
12782,23.87
12795,6.36
12809,20.84
12821,12.81
12835,15.07
12849,18.01
12862,17.99
12875,16.45
12889,14.97
12903,14.03
12916,24.85
12931,23.15
12943,8.35
12955,8.04
12967,9.96
12981,10.02
12994,9.60
13006,11.06
13020,11.61
13033,12.07
13047,12.19
13061,11.82
13074,11.40
13087,10.38
13101,9.19
13113,9.16
13126,9.24
13138,8.71
13151,8.39
13163,8.49
13175,9.42
13189,9.09
13201,9.14
13213,9.50
13225,10.14
13239,9.60
13252,9.60
13264,9.60
13277,8.87
13289,9.30
13301,9.16
13314,9.02
13327,8.95
13339,8.76
13351,9.35
13364,9.35
13376,9.24
13389,9.40
13402,9.50
13414,9.06
13426,9.40
13438,8.87
13452,8.92
13464,8.71
13476,9.30
13489,9.07
13501,9.12
13513,8.47
13527,9.02
13539,8.82
13551,9.30
13563,9.16
13576,9.19
13589,9.06
13601,9.30
13614,8.87
13626,8.82
13638,9.07
13651,8.56
13664,8.45
13676,8.51
13688,8.71
13701,8.45
13713,9.02
13726,9.04
13739,8.76
13751,8.76
13763,8.87
13775,9.14
13789,9.02
13801,8.92
13813,8.45
13826,8.56
13838,8.56
13851,8.51
13863,8.76
13876,8.66
13888,8.66
13900,8.15
13913,8.04
13926,8.25
13938,8.09
13950,7.58
13963,7.68
13975,8.30
13988,7.99
14001,8.35
14013,8.40
14025,8.40
14038,8.35
14051,8.35
14063,8.30
14075,8.45
14088,8.76
14100,8.92
14112,9.04
14126,9.02
14138,9.06
14150,9.02
14162,9.02
14175,8.45
14188,8.71
14200,8.71
14213,8.76
14225,8.87
14237,8.92
14251,8.90
14263,9.35
14275,9.09
14287,9.76
14300,9.96
14313,9.71
14325,10.22
14339,10.43
14352,10.74
14365,10.94
14380,11.47
14393,11.30
14406,12.04
14419,12.38
14434,12.71
14447,12.90
14460,13.63
14474,13.89
14487,13.94
14501,14.65
14515,15.95
14528,20.53
14541,17.13
14556,16.67
14569,17.48
14582,16.91
14596,15.98
14609,14.08
14622,10.74
14636,7.37
14648,4.85
14660,3.70
14673,3.72
14686,4.34
14698,4.80
14710,6.65
14724,9.09
14736,12.64
14749,14.41
14764,15.90
14777,15.85
14790,14.51
14803,13.21
14817,10.38
14830,8.82
14842,7.22
14855,6.65
14868,6.19
14880,6.55
14893,7.17
14905,8.04
14918,9.14
14930,10.34
14944,11.66
14957,12.13
14971,11.83
14985,10.80
14998,9.86
15010,9.35
15023,8.71
15035,7.63
15047,7.68
15060,7.12
15073,7.84
15085,7.99
15097,9.07
15110,9.16
15123,9.55
15135,9.91
15148,10.07
15161,10.14
15174,9.88
15187,9.76
15200,9.35
15212,8.71
15224,8.51
15237,8.76
15250,8.35
15262,8.35
15275,8.97
15287,8.87
15299,9.07
15312,9.14
15325,9.06
15337,9.09
15349,9.16
15362,9.30
15374,8.87
15387,8.97
15399,8.87
15412,8.40
15424,8.51
15436,9.07
15450,8.71
15462,8.83
15474,9.26
15486,9.45
15499,9.47
15512,9.42
15524,9.19
15537,8.82
15549,8.87
15561,8.82
15574,8.82
15587,8.71
15599,8.76
15611,8.82
15624,9.30
15636,9.42
15649,9.35
15662,9.42
15674,9.04
15686,9.16
15698,9.21
15712,9.14
15724,9.04
15736,9.04
15749,9.14
15761,9.18
15773,9.19
15787,9.09
15799,9.16
15811,9.14
15823,9.24
15836,9.71
15849,9.14
15861,9.11
15874,9.07
15886,9.18
15898,9.52
15911,9.50
15924,9.06
15936,9.09
15948,9.19
15961,9.19
15973,9.21
15986,9.09
15998,9.09
16011,9.11
16023,9.30
16035,9.86
16049,9.50
16061,9.60
16073,10.14
16087,10.27
16100,10.27
16114,9.66
16126,9.55
16139,9.50
16151,9.55
16163,9.55
16177,9.60
16189,9.55
16201,10.07
16215,10.17
16228,10.17
16242,10.58
16256,10.22
16269,10.27
16282,10.48
16295,10.53
16310,10.99
16323,11.15
16336,10.89
16350,11.66
16363,11.92
16377,11.73
16391,12.95
16404,13.36
16417,13.89
16432,14.30
16445,14.82
16458,14.97
16472,15.90
16486,16.21
16499,15.43
16513,13.33
16526,10.22
16539,8.20
16551,6.65
16564,5.78
16576,4.70
16588,4.96
16602,6.24
16614,9.02
16626,10.55
16641,13.53
16654,15.64
16667,15.85
16680,15.54
16695,14.59
16708,12.25
16721,10.12
16735,8.71
16747,7.94
16759,7.22
16772,7.27
16785,7.44
16797,8.97
16809,9.31
16822,10.60
16836,11.51
16849,11.97
16863,11.87
16876,10.86
16889,10.39
16903,9.30
16916,8.40
16928,8.61
16941,8.20
16953,8.30
16965,8.15
16978,8.71
16991,8.87
17003,9.42
17015,10.02
17029,10.32
17043,10.22
17056,9.50
17069,9.55
17081,9.16
17093,8.87
17105,8.51
17119,8.66
17131,8.61
17143,8.35
17156,9.12
17168,9.07
17181,8.87
17193,9.04
17206,9.14
17218,9.24
17230,9.16
17244,9.24
17256,8.76
17268,8.92
17281,8.45
17293,8.76
17305,8.76
17318,8.71
17331,8.40
17343,9.02
17355,8.92
17368,9.36
17381,9.36
17393,9.40
17405,9.36
17418,9.35
17430,8.92
17443,8.87
17456,8.76
17468,8.76
17480,8.92
17492,9.31
17505,9.45
17518,9.06
17530,9.16
17543,9.71
17555,9.91
17567,9.91
17581,9.81
17593,9.81
17605,9.81
17617,9.86
17630,9.86
17643,9.71
17655,9.67
17668,9.66
17680,9.78
17692,9.76
17704,9.81
17718,9.78
17730,9.78
17742,9.81
17755,9.91
17767,9.55
17780,9.50
17793,9.55
17805,9.60
17817,9.76
17829,10.22
17844,10.19
17857,10.29
17870,9.91
17883,10.07
17896,10.58
17910,10.58
17924,10.34
17937,10.89
17950,11.66
17964,11.46
17978,11.68
17991,12.45
18004,12.86
18018,13.05
18032,14.35
18045,14.51
18059,14.70
18072,15.69
18086,15.90
18100,14.30
18113,11.94
18126,9.30
18139,6.65
18151,5.88
18163,4.24
18176,4.18
18189,5.88
18201,7.00
18213,8.40
18226,10.63
18240,14.05
18253,15.38
18267,16.46
18280,15.80
18294,14.80
18308,12.38
18321,10.08
18334,8.45
18347,7.53
18359,7.12
18371,7.89
18384,7.07
18397,7.73
18409,8.71
18421,9.66
18435,10.89
18448,11.61
18461,12.25
18475,11.82
18488,10.60
18501,9.88
18514,8.82
18527,7.94
18539,8.20
18551,7.63
18564,8.20
18577,8.61
18589,8.30
18601,9.24
18614,9.19
18626,9.60
18639,10.19
18653,10.17
18666,9.45
18678,9.16
18691,9.14
18703,8.76
18716,8.30
18728,8.61
18741,8.25
18753,8.51
18765,8.45
18779,9.07
18791,9.35
18803,9.19
18816,9.86
18828,9.86
18841,9.66
18853,9.09
18866,8.87
18878,9.18
18890,8.97
18903,8.40
18916,8.66
18928,8.71
18940,8.35
18953,8.97
18965,9.40
18978,9.40
18991,10.32
19004,12.09
19017,13.51
19032,26.24
19046,26.14
19059,25.24
19073,24.85
19086,24.49
19099,24.08
19112,24.08
19127,24.39
19140,23.10
19153,23.20
19167,24.03
19181,28.90
19316,2103.93
19319,18.97
19321,18.57
19323,17.65
19325,18.04
19328,18.01
19334,18.25
19348,19.09
19361,22.74
19375,19.86
19388,15.95
19401,18.45
19415,15.11
19428,14.30
19442,14.56
19456,14.35
19469,16.41
19606,2104.39
19731,2110.56
19740,148.38
19750,145.83
19760,144.97
