Time,Bits
6018,443
6024,435
6029,425
6035,423
6041,424
6047,417
6052,410
6058,401
6064,393
6070,398
6075,392
6081,385
6087,377
6093,368
6098,365
6104,362
6110,355
6116,348
6121,338
6127,328
6133,331
6139,324
6144,317
6150,309
6156,299
6162,297
6167,291
6173,284
6179,277
6185,270
6190,261
6196,260
6202,255
6208,249
6213,243
6219,237
6225,236
6231,233
6236,229
6242,225
6248,221
6254,216
6259,217
6265,214
6271,213
6277,211
6282,209
6288,211
6294,210
6300,210
6305,211
6311,211
6317,212
6323,219
6328,221
6334,223
6340,225
6346,229
6351,236
6357,239
6363,242
6369,246
6374,250
6380,254
6386,265
6392,269
6397,274
6403,279
6409,285
6415,298
6420,303
6426,308
6432,313
6438,318
6443,323
6449,337
6455,340
6461,345
6466,348
6472,352
6478,368
6484,374
6489,377
6495,381
6501,384
6507,389
6512,403
6518,405
6524,408
6530,410
6535,412
6541,426
6547,435
6553,437
6558,439
6564,440
6570,446
6575,459
6581,460
6587,462
6593,463
6598,463
6604,472
6610,479
6616,480
6621,481
6627,481
6633,487
6639,498
6644,498
6650,498
6656,497
6662,500
6667,507
6673,512
6679,511
6685,509
6690,507
6696,512
6702,521
6708,520
6713,518
6719,515
6725,518
6731,524
6736,527
6742,525
6748,523
6754,521
6759,525
6765,532
6771,529
6777,526
6782,521
6788,523
6794,529
6800,530
6805,527
6811,523
6817,520
6823,524
6828,530
6834,527
6840,523
6846,517
6851,517
6857,521
6863,522
6869,516
6874,511
6880,506
6886,509
6892,514
6897,509
6903,503
6909,496
6915,495
6920,499
6926,498
6932,492
6938,487
6943,480
6949,483
6955,486
6961,481
6966,475
6972,467
6978,463
6984,468
6989,462
6995,456
7001,448
7007,439
7012,439
7018,442
7024,436
7030,428
7035,419
7041,413
7047,420
7053,414
7058,408
7064,399
7070,390
7076,387
7081,384
7087,378
7093,371
7098,362
7104,352
7110,356
7116,349
7122,343
7127,334
7133,325
7139,323
7144,317
7150,310
7156,302
7162,293
7167,283
7173,283
7179,277
7185,270
7190,264
7196,255
7202,254
7208,249
7213,245
7219,240
7225,234
7231,227
7236,227
7242,224
7248,220
7254,217
7259,214
7265,215
7271,213
7277,211
7282,210
7288,210
7294,208
7300,212
7305,212
7311,212
7317,213
7323,215
7328,221
7334,223
7340,226
7346,228
7351,232
7357,236
7363,246
7369,249
7374,253
7380,258
7386,262
7392,273
7397,278
7403,283
7409,287
7415,292
7420,297
7426,312
7432,315
7438,320
7443,325
7449,329
7455,343
7461,352
7466,355
7472,360
7478,363
7484,367
7490,384
7495,388
7501,391
7507,394
7513,396
7518,406
7524,419
7530,421
7536,423
7541,425
7547,426
7553,441
7559,447
7564,449
7570,450
7576,452
7581,460
7587,470
7593,472
7599,474
7604,475
7610,477
7616,487
7622,493
7627,493
7633,492
7639,490
7645,497
7650,506
7656,506
7662,505
7668,503
7673,506
7679,514
7685,518
7691,517
7696,516
7702,514
7708,519
7714,527
7719,526
7725,524
7731,522
7737,526
7742,531
7748,533
7754,531
7760,528
7765,528
7771,532
7777,538
7783,535
7788,531
7794,526
7800,529
7806,535
7811,536
7817,532
7823,527
7829,525
7834,528
7840,534
7846,530
7852,525
7857,518
7863,519
7869,524
7875,524
7880,519
7886,513
7892,509
7898,512
7903,518
7909,513
7915,507
7921,500
7926,498
7932,502
7938,500
7944,494
7949,487
7955,479
7961,480
7967,483
7972,477
7978,471
7984,463
7990,458
7995,463
8001,459
8007,452
8013,445
8018,435
8024,435
8030,437
8036,430
8041,423
8047,415
8053,406
8059,411
8064,405
8070,399
8076,391
8082,381
8087,378
8093,374
8099,367
8105,360
8110,351
8116,341
8122,344
8128,337
8133,331
8139,322
8145,312
8151,310
8156,304
8162,297
8168,290
8174,282
8179,272
8185,271
8191,266
8197,260
8202,254
8208,246
8214,245
8220,240
8225,236
8231,231
8237,226
8243,220
8248,220
8254,217
8260,215
8266,214
8271,212
8277,213
8283,212
8289,211
8294,210
8300,210
8306,210
8312,214
8317,214
8323,215
8329,217
8335,220
8340,226
8346,230
8352,234
8358,237
8363,241
8369,246
8375,257
8381,261
8386,265
8392,270
8398,276
8404,286
8409,295
8415,299
8421,305
8427,309
8432,314
8438,331
8444,334
8450,338
8455,342
8461,347
8467,358
8473,368
8478,371
8484,375
8490,378
8496,380
8501,397
8507,403
8513,405
8519,408
8524,409
8530,418
8536,430
8542,432
8547,434
8553,436
8559,438
8565,451
8570,458
8576,460
8582,462
8588,463
8593,471
