Time,Bits_1
5696,398
5702,398
5707,397
5713,398
5719,399
5725,400
5730,403
5736,400
5742,401
5748,402
5753,403
5759,404
5765,403
5771,401
5776,402
5782,402
5788,403
5794,404
5799,401
5805,401
5811,402
5817,402
5822,403
5828,402
5834,399
5840,400
5845,400
5851,400
5857,401
5863,397
5868,396
5874,396
5880,396
5886,396
5891,394
5897,391
5903,391
5909,391
5914,391
5920,391
5926,386
5932,385
5937,385
5943,384
5949,385
5955,381
5960,377
5966,377
5972,377
5978,377
5983,376
5989,372
5995,369
6001,368
6006,368
6012,368
6018,364
6024,359
6029,358
6035,357
6041,358
6047,356
6052,352
6058,348
6064,348
6070,348
6075,348
6081,344
6087,340
6093,338
6098,338
6104,338
6110,336
6116,332
6121,328
6127,328
6133,329
6139,329
6144,326
6150,322
6156,320
6162,320
6167,321
6173,318
6179,315
6185,310
6190,311
6196,312
6202,312
6208,309
6213,306
6219,304
6225,306
6231,308
6236,306
6242,304
6248,300
6254,302
6259,304
6265,304
6271,302
6277,300
6282,299
6288,302
6294,305
6300,303
6305,301
6311,298
6317,301
6323,305
6328,306
6334,304
6340,303
6346,303
6351,306
6357,311
6363,309
6369,308
6374,306
6380,310
6386,314
6392,317
6397,316
6403,315
6409,315
6415,319
6420,325
6426,326
6432,325
6438,323
6443,326
6449,331
6455,335
6461,334
6466,334
6472,335
6478,339
6484,344
6489,346
6495,345
6501,344
6507,347
6512,351
6518,355
6524,355
6530,354
6535,356
6541,359
6547,363
6553,366
6558,365
6564,365
6570,367
6576,370
6581,374
6587,374
6593,373
6599,374
6604,377
6610,380
6616,382
6621,381
6627,382
6633,384
6639,386
6644,390
6650,389
6656,389
6662,390
6667,392
6673,394
6679,396
6685,393
6690,395
6696,396
6702,398
6708,400
6713,399
6719,398
6725,399
6731,400
6736,401
6742,402
6748,400
6754,400
6759,401
6765,402
6771,403
6777,401
6782,401
6788,402
6794,402
6800,404
6805,403
6811,401
6817,401
6823,401
6828,402
6834,403
6840,399
6846,398
6851,398
6857,399
6863,399
6869,398
6874,395
6880,395
6886,395
6892,395
6897,396
6903,391
6909,389
6915,389
6920,389
6926,389
6932,387
6938,383
6943,382
6949,382
6955,382
6961,382
6966,378
6972,375
6978,374
6984,374
6989,374
6995,372
7001,366
7007,364
7012,364
7018,364
7024,364
7030,359
7035,355
7041,355
7047,355
7053,355
7058,351
7064,347
7070,345
7076,344
7081,344
7087,343
7093,339
7099,334
7104,334
7110,334
7116,335
7122,332
7127,327
7133,324
7139,325
7145,326
7150,323
7156,320
7162,315
7168,315
7173,316
7179,317
7185,314
7191,310
7196,308
7202,309
7208,312
7214,309
7219,306
7225,303
7231,303
7236,305
7242,305
7248,303
7254,300
7259,299
7265,301
7271,304
7277,302
7282,300
7288,298
7294,300
7300,303
7305,304
7311,303
7317,301
7323,300
7329,303
7334,307
7340,307
7346,305
7352,302
7357,305
7363,309
7369,312
7375,311
7380,309
7386,309
7392,313
7398,318
7403,319
7409,318
7415,317
7421,320
7426,324
7432,328
7438,327
7444,326
7449,327
7455,330
7461,335
7467,337
7472,337
7478,336
7484,339
7490,343
7495,348
7501,349
7507,348
7513,348
7518,351
7524,355
7530,359
7536,357
7541,356
7547,359
7553,362
7559,366
7564,367
7570,366
7576,368
7582,370
7587,373
7593,377
7599,376
7605,376
7610,377
7616,380
7622,383
7628,385
7633,383
7639,384
7645,386
7651,389
7656,392
7662,391
7668,390
7674,392
7679,394
7685,396
7691,397
7696,395
7702,396
7708,397
7714,398
7719,401
7725,399
7731,399
7737,400
7742,400
7748,402
7754,402
7760,400
7765,400
7771,401
7777,402
7783,404
7788,400
7794,400
7800,401
7806,401
7811,402
7817,401
7823,399
7829,400
7834,400
7840,400
7846,401
7852,397
7857,396
7863,396
7869,396
7875,397
7880,395
7886,392
7892,392
7898,392
7903,392
7909,393
7915,388
7921,386
7926,386
7932,386
7938,386
7944,383
7949,379
7955,378
7961,378
7967,378
7972,378
7978,374
7984,370
7990,370
7995,370
8001,370
8007,367
8013,362
8018,360
8024,360
8030,360
8036,360
8041,355
8047,351
8053,351
8059,351
8064,351
8070,347
8076,342
8082,340
8087,340
8093,340
8099,339
8105,335
8110,330
8116,330
8122,330
8128,331
8133,328
8139,324
8145,321
8151,321
8156,323
8162,320
8168,317
8174,312
8179,312
8185,313
8191,314
8197,311
8202,307
8208,305
8214,306
8220,308
8225,306
8231,303
8237,300
8243,301
8248,303
8254,304
8260,302
8266,299
8271,298
8277,300
8283,304
8289,302
8294,300
