Time,Bits_0
9789,396
9795,396
9801,397
9807,398
9812,399
9818,395
9824,395
9830,395
9835,395
9841,396
9847,394
9853,392
9858,392
9864,392
9870,392
9876,393
9882,388
9887,387
9893,387
9899,387
9905,387
9910,385
9916,381
9922,381
9928,381
9933,381
9939,382
9945,377
9951,374
9956,374
9962,374
9968,374
9974,371
9979,367
9985,365
9991,365
9997,365
10002,366
10008,360
10014,356
10020,354
10026,355
10031,356
10037,356
10043,349
10049,344
10055,342
10060,344
10066,347
10072,347
10078,341
10083,335
10089,331
10095,332
10101,335
10107,336
10112,332
10118,325
10124,320
10130,320
10136,323
10141,325
10147,323
10153,317
10159,311
10165,310
10170,313
10176,316
10182,315
10188,309
10194,303
10199,300
10205,301
10211,306
10217,307
10223,303
10228,297
10234,293
10240,294
10246,301
10252,304
10257,303
10263,297
10269,293
10275,292
10281,296
10286,301
10292,302
10298,299
10304,293
10310,291
10316,293
10321,300
10327,304
10333,304
10339,299
10345,296
10350,296
10356,302
10362,307
10368,310
10374,308
10379,303
10385,302
10391,306
10397,313
10403,317
10408,318
10414,313
10420,311
10426,313
10432,320
10437,326
10443,328
10449,326
10455,323
10461,323
10466,328
10472,335
10478,339
10484,340
10490,335
10495,334
10501,337
10507,343
10513,348
10519,350
10524,348
10530,346
10536,347
10542,353
10548,359
10553,363
10559,362
10565,359
10571,359
10577,363
10582,368
10588,372
10594,373
10600,370
10606,369
10611,372
10617,376
10623,381
10629,383
10635,381
10640,378
10646,379
10652,382
10658,386
10664,389
10669,388
10675,386
10681,385
10687,388
10693,391
10698,394
10704,394
10710,393
10716,391
10722,392
10727,394
10733,397
10739,398
10745,397
10751,394
10756,394
10762,396
10768,397
10774,400
10780,398
10785,396
10791,394
10797,395
10803,397
10809,399
10814,399
10820,397
10826,394
10832,393
10838,394
10844,396
10849,397
10855,395
10861,392
10867,389
10873,389
10878,390
10884,392
10890,392
10896,389
10902,384
10907,382
10913,383
10919,385
10925,386
10931,384
10936,379
10942,375
10948,375
10954,376
10960,378
10965,377
10971,372
10977,367
10983,365
10989,366
10994,368
11000,369
11006,365
11012,359
11018,354
11023,354
11029,356
11035,357
11041,355
11047,348
11052,343
11058,340
11064,342
11070,345
11076,345
11081,340
11087,333
11093,330
11099,330
11105,333
11110,334
11116,331
11122,323
11128,319
11134,318
11139,321
11145,324
11151,323
11157,316
11163,310
11168,307
11174,309
11180,313
11186,313
11192,309
11197,302
11203,298
11209,298
11215,305
11221,307
11226,305
11232,299
11238,295
11244,294
11250,298
11255,303
11261,303
11267,299
11273,293
11279,291
11284,293
11290,299
11296,302
11302,301
11308,296
11314,292
11319,292
11325,298
11331,303
11337,305
11343,302
11348,297
11354,296
11360,299
11366,306
11372,310
11377,311
11383,306
11389,303
11395,304
11401,311
11406,317
11412,319
11418,318
11424,314
11430,313
11435,318
11441,325
11447,329
11453,330
11459,325
11464,324
11470,326
11476,332
11482,338
11488,341
11493,339
11499,336
11505,336
11511,341
11517,348
11522,353
11528,353
11534,350
11540,349
11546,352
11551,357
11557,363
11563,365
11569,363
11575,361
11580,363
11586,367
11592,372
11598,375
11604,374
11609,371
11615,371
11621,375
11627,379
11633,382
11638,383
11644,380
11650,379
11656,382
11662,385
11667,390
11673,391
11679,389
11685,387
11691,387
11696,390
11702,393
11708,395
