Time,Potentiometer,Thermistor
135940,0,253
136140,0,254
136341,0,253
136542,0,255
136743,0,254
136944,0,253
137145,0,254
137346,0,253
137546,0,254
137747,0,253
137948,0,254
138148,0,253
138349,0,253
138550,0,253
138750,0,253
138951,0,252
139153,0,254
139354,0,254
139554,0,254
139755,0,253
139956,0,253
140156,0,253
140357,0,253
140558,0,253
140759,0,252
140959,0,252
141160,0,252
141361,0,253
141562,0,252
141763,0,254
141964,0,252
142164,0,252
142365,0,253
142566,0,253
142767,0,253
142967,0,251
143168,0,253
143369,0,253
143569,0,252
143771,0,254
143972,0,252
144173,0,253
144373,0,253
144574,0,253
144775,0,253
144975,0,254
145176,0,252
145377,0,252
145577,0,253
145778,0,253
145979,0,253
146181,0,252
146381,0,254
146582,0,252
146783,0,253
146983,0,252
147184,0,252
147385,0,254
147586,0,252
147786,0,252
147987,0,252
148188,0,253
148388,0,252
148590,0,251
148791,0,253
148992,0,252
149192,0,253
149393,0,252
149594,0,254
149794,0,252
149995,0,252
